Name,Attachments,Type of food,Theme,Cuisine,Meat,URL
Homemade Tacos,,Sandwich,Taco Tuesday,Mexican,,
Mexican Burrito Bowl,"image.png, https://feelgoodfoodie.net/recipe/chicken-burrito-bowl-cilantro-lime-rice/",Bowl,Taco Tuesday,Mexican,Chicken,
Mexican Chicken Adobo,https://neighborfoodblog.com/mexican-chicken-marinade/,,Taco Tuesday,Mexican,Chicken,
Mexican Roasted Cauliflower,https://thefeedfeed.com/feedtheswimmers/roasted-adobo-cauliflower-and-quinoa-salad-tacos,,Taco Tuesday,Mexican,,
Cilantro lime rice,,,Taco Tuesday,Mexican,,
Jalapeño Ranch Sauce,https://natashaskitchen.com/jalapeno-ranch-recipe/,,Taco Tuesday,Mexican,,
Mexican street salad,"https://www.jamieoliver.com/recipes/vegetables-recipes/mexican-street-salad/, image%201.png",Bowl,Taco Tuesday,Mexican,,
Adobo Sauce,https://keviniscooking.com/how-to-make-adobo-sauce/,,Taco Tuesday,Mexican,,
Pico de gallo,https://cookieandkate.com/classic-pico-de-gallo-recipe/,,Taco Tuesday,Mexican,,
Fresh Pineapple Salsa,https://cookieandkate.com/fresh-pineapple-salsa-recipe/,,Taco Tuesday,Mexican,,
Tacos de crevettes croustillantes aux épices baja,"https://www.makegoodfood.ca/fr/recipe/tacos-de-crevettes-croustillantes-aux-epices-baja-2, image%202.png",Sandwich,Taco Tuesday,Mexican,Shrimp,
Tacos de crevettes chipotle et de patate douce,"https://www.ricardocuisine.com/recettes/6688-tacos-de-crevettes-chipotle-et-de-patate-douce, image%203.png",Sandwich,Taco Tuesday,Mexican,Shrimp,
Tasty fish tacos,"https://www.jamieoliver.com/recipes/fish-recipes/tasty-fish-tacos/, image%204.png",Sandwich,Taco Tuesday,Mexican,,
Nachos style Carne Asada,"Nachos_style_Carne_Asada___Recette_facile__prparer___Cook_it.pdf, https://www.chefcookit.com/recipes/nachos-carne, image%205.png",Grill,Taco Tuesday,Mexican,Red Meat,
Carne asada gorditas,"https://vm.tiktok.com/ZMNJ9j5yG/?k=1, https://stellanspice.com/carne-asada-gorditas/",,Taco Tuesday,Mexican,Red Meat,
South American-style guacamole with popped black beans,"https://www.jamieoliver.com/recipes/vegetable-recipes/south-american-style-guacamole-with-popped-black-beans/, image%206.png",,Taco Tuesday,South American,,
"Plaque de crevettes, haricots noirs et chorizo","https://www.ricardocuisine.com/recettes/8166-plaque-de-crevettes-haricots-noirs-et-chorizo, image%207.png",Grill,Taco Tuesday,South American,Shrimp,
Cajun rice & barbecue turkey burrito,"https://www.jamieoliver.com/recipes/rice-recipes/cajun-rice-barbecue-turkey-burrito/, image%208.png",Sandwich,Taco Tuesday,Cajun,,
Tarte aux tomates et aux trois fromages,"https://www.recettesdici.com/fr/categorie-de-plat/7/entrees/476/tarte-aux-tomates-et-aux-trois-fromages-dici, image%209.png",,Meatless Monday,European,,
Taquitos de patate douce,"https://www.chefcookit.com/recipes/taquitos-patatedouce, image%2010.png",,Meatless Monday,Mexican,,
Tofu grillé au Piri Piri,"https://www.chefcookit.com/recipes/tofu-piripiri, image%2011.png",,Meatless Monday,Spanish,,
Croquettes de falafel,"https://www.chefcookit.com/recipes/croquette-falafel, image%2012.png",,Meatless Monday,Middle-East,,
Champignons shiitake et crimini tempura,"https://www.chefcookit.com/recipes/champi-tempura, image%2013.png",,Meatless Monday,European,,
Rouleaux de printemps croquants,"https://www.chefcookit.com/recipes/rouleau-legumes, image%2014.png",,Meatless Monday,Asian,,
Grilled cheese à la poire et au Brie,"https://www.chefcookit.com/recipes/grilledcheese-poire, image%2015.png",,Meatless Monday,European,,
Mozzarella fondante et dorée,"https://www.chefcookit.com/recipes/couscous-mozzarellafondante, image%2016.png, image%2017.png",,Meatless Monday,European,,
Nems vietnamiens végé,"https://www.chefcookit.com/recipes/nems-tofu, image%2018.png",,Meatless Monday,Asian,,
Brochettes de tofu tandoori avec riz basmati aux épices,"https://www.makegoodfood.ca/fr/recipe/brochettes-de-tofu-tandooriavec-riz-basmati-aux-epices-1, image%2019.png",,Meatless Monday,Middle-East,,
Crispy Baked Sweet Potato Fries,"https://cookieandkate.com/baked-sweet-potato-fries/, image%2020.png",,Meatless Monday,North American,,
GRILLED VEGETABLE PLATTER,"https://damndelicious.net/2017/07/05/grilled-vegetable-platter/, image%2021.png, https://www.recettesjecuisine.com/fr/recettes/accompagnements/carottes-et-panais-caramelises-a-lerable/",,Meatless Monday,European,,
Nettle Tea Mojitos (Alcohol-free Mocktails),"https://food52.com/recipes/72214-nettle-tea-mojitos-alcohol-free-mocktails, image%2022.png, image%2023.png",,Mocktail Monday,,,
Healthy Baked Buffalo Cauliflower Bites,"https://feelgoodfoodie.net/recipe/buffalo-cauliflower-bites/, image%2024.png, https://choosingchia.com/buffalo-cauliflower-wings/",,Meatless Monday,North American,,
MOCKTAIL AU MELON D’EAU & À LA MENTHE,"https://www.troisfoisparjour.com/fr/recettes/boissons/mocktail-au-melon-deau-a-la-menthe/, image%2025.png",,Mocktail Monday,,,
"Pomegranate, ginger & lime flavoured water","https://www.jamieoliver.com/recipes/fruit-recipes/pomegranate-ginger-lime-flavoured-water/, image%2026.png",,Mocktail Monday,,,
Y,https://vm.tiktok.com/ZMNJ4Drvk/?k=1,,Mocktail Monday,,,
Tandoori Chicken,"https://www.simplyrecipes.com/recipes/tandoori_chicken/, image%2027.png, https://www.ricardocuisine.com/recettes/2160-sauce-tzatziki, Sandwich_au_poulet_tandoori___Recette_facile__prparer___Cook_it.pdf, image%2028.png, https://www.ricardocuisine.com/recettes/6706-epices-tandoori",,World of Food Wednesday,Middle-East,Chicken,
LE KEBAB MAISON,"https://www.pinterest.ca/pin/298856125275140872/?nic_v2=1a79qBYxf, image%2029.png",,World of Food Wednesday,Middle-East,,
hawaiian ahi tuna poke bowl,"https://www.halfbakedharvest.com/hawaiian-ahi-tuna-poke-bowl-video/, image%2030.png",,World of Food Wednesday,Oceanix,,
Paella,"https://www.jamieoliver.com/recipes/seafood-recipes/paella/, image%2031.png, https://paellamarisol.com/recette-a-paella/, image%2032.png",,World of Food Wednesday,Spanish,,
Burgers aux keftas de bœuf sur pitas moelleux,"https://www.makegoodfood.ca/fr/recipe/burgers-aux-keftas-de-boeufsur-pitas-moelleux-1, image%2033.png",,World of Food Wednesday,Middle-East,,
Cuisse de canard confite,"https://www.chefcookit.com/recipes/risotto-canard, Cuisse_de_canard_confite___Recette_facile__prparer___Cook_it.pdf, image%2034.png",,World of Food Wednesday,European,Chicken,
Pita de Steak au Za'atar,"https://www.chefcookit.com/recipes/pitasteak, Pita_de_Steak_au_Zaatar___Recette_facile__prparer___Cook_it.pdf, image%2035.png, Gyros_de_steak___Recette_facile__prparer___Cook_it.pdf, image%2036.png",,World of Food Wednesday,Middle-East,Red Meat,
Boulettes de porc au cari rouge,"https://www.makegoodfood.ca/fr/recipe/boulettes-de-porc-au-cari-rouge-1, image%2037.png",,World of Food Wednesday,Middle-East,Pork,
Poke Bowl with spicy shrimp,"https://equipenutrition.ca/en/recipe-nutritionist/poke-bowl-spicy-shrimps, image%2038.png, https://www.tasteandtellblog.com/teriyaki-chicken/",Bowl,World of Food Wednesday,Japanese,"Chicken, Shrimp",
EASY RED CURRY PASTE (10 MINUTES!),"https://minimalistbaker.com/easy-red-curry-paste/, image%2039.png",,World of Food Wednesday,Middle-East,,
Sauce à laquer japonaise pour brochettes de porc,"https://www.ricardocuisine.com/recettes/5789-sauce-a-laquer-japonaise-pour-brochettes-de-porc, image%2040.png",,World of Food Wednesday,Japanese,,
Poulet collant à l’asiatique en une poêle,"image%2041.png, https://www.makegoodfood.ca/fr/recipe/poulet-collant-a-lasiatiqueen-une-poele-7",,World of Food Wednesday,Asian,Chicken,
Curry base sauce,"https://www.jamieoliver.com/recipes/vegetables-recipes/curry-base-sauce/, image%2042.png",Bowl,World of Food Wednesday,Middle-East,,
Gyros,https://vm.tiktok.com/ZMNRUYBgv/?k=1,Sandwich,World of Food Wednesday,Middle-East,Red Meat,
BAKED SWEET AND SOUR CHICKEN,"https://damndelicious.net/2014/01/18/baked-sweet-sour-chicken/, image%2043.png",,World of Food Wednesday,Asian,Chicken,
Risotto,IMG_4555.jpg,Casserole,World of Food Wednesday,Spanish,,
Kung Pao chicken,"https://www.jamieoliver.com/recipes/chicken-recipes/kung-pao-chicken/, image%2044.png, https://epicesdecru.com/products/epices/poivre-de-sichuan-vert, https://www.iga.net/en/product/pepperred-szechuan/00000_000000062038301198",,World of Food Wednesday,Asian,Chicken,
Perdrix noir à la sauce au vin rouge,image.jpeg,,Wild Meat Wednesday,Quebecoise,Chicken,
Grouse with apple sauce,IMG_4281.jpg,,Wild Meat Wednesday,Quebecoise,Chicken,
Grouse with creamy sauce,IMG_4280.jpg,,Wild Meat Wednesday,Quebecoise,Chicken,
Lagopède à la sauce BBQ,image%201.jpeg,,Wild Meat Wednesday,Quebecoise,Chicken,
Oeufs farcis deux façons,"image%2045.png, https://www.recettesdici.com/fr/categorie-de-plat/1/hors-doeuvre-et-bouchees/1324/oeufs-farcis-deux-facons",,Tapas Thursday,European,Egg,
"Bouchées de prosciutto, pomme et brie",image%2046.png,,Tapas Thursday,European,,
TARTINADE ÉTAGÉE DE FROMAGE DE CHÈVRE AUX HERBES ET À L’HUILE D’OLIVE,"https://savourer.ca/recette/tartinade-etagee-de-fromage-de-chevre-aux-herbes-et-a-l-huile-d-olive/, image%2047.png",,Tapas Thursday,European,,
Trempette chaude aux artichauts de Ricardo,"https://www.ricardocuisine.com/recettes/4399-trempette-chaude-aux-artichauts-2-, image%2048.png",,Tapas Thursday,Quebecoise,,
Melon Prosciutto Skewers,"https://www.delish.com/cooking/recipe-ideas/recipes/a53065/melon-prosciutto-skewers-recipe/, image%2049.png",,Tapas Thursday,European,,
Casserole de patates bleues et champignons du terroir ,,,Tapas Thursday,Quebecoise,,
Casserole de patates bleues et champignons du terroir,IMG_4839.jpg,,Tapas Thursday,Quebecoise,,
Tortellinis au fromage avec sauce balsamique au beurre doré,"https://www.makegoodfood.ca/fr/recipe/tortellinis-au-fromage-avec-sauce-balsamique-au-beurre-dore-3, image%2050.png",Pasta,Pasta Thursday,European,,
CREAMY BEEF AND SHELLS,"https://damndelicious.net/2018/09/16/creamy-beef-and-shells/, image%2051.png",Pasta,Pasta Thursday,North American,,
Sundried pasta,https://vm.tiktok.com/ZMLVp7urK/,Pasta,Pasta Thursday,European,,
Classic Moscow Mule,"https://www.youtube.com/watch?v=GMyYETa56rc, https://cookieandkate.com/best-moscow-mule-recipe/, image%2052.png",,Thirsty Thursday,,,
Frozen Dark & Stormy,"https://www.delish.com/cooking/recipe-ideas/recipes/a46973/frozen-dark-stormy-drink-recipe/, image%2053.png",,Thirsty Thursday,,,
Mexico Mule,"https://qblog.qoqa.ch/fr/posts/3823, image%2054.png, https://www.youtube.com/watch?v=Yxjz1MwfTxA",,Thirsty Thursday,,,
The Pineapple Negroni Recipe,"https://vinepair.com/cocktail-recipe/the-pineapple-negroni-recipe/, image%2055.png",,Thirsty Thursday,,,
Saumon glacé à la réduction balsamique,"https://www.makegoodfood.ca/fr/recipe/saumon-glacea-la-reduction-balsamique-1, image%2056.png",,Fish and Seafood Friday,European,Salmon,
Pavé de saumon à la poêle,"https://www.chefcookit.com/recipes/saumon-poele, image%2057.png",,Fish and Seafood Friday,European,Salmon,
Fish cakes,"https://www.jamieoliver.com/recipes/fish-recipes/fish-cakes/, image%2058.png",,Fish and Seafood Friday,European,,
Beignets de morue,"https://www.chefcookit.com/recipes/beignetsmorue, Beignets_de_morue___Recette_facile__prparer___Cook_it.pdf, image%2059.png",,Fish and Seafood Friday,European,,
A Creamy Lobster Risotto Recipe,"https://www.joyfulhealthyeats.com/creamy-lobster-risotto-recipe/, image%2060.png",,Fish and Seafood Friday,European,,
